,name,formatted_address,international_phone_number,opening_hours,rating,types,url,user_ratings_total,lat,lng
10,Manifreshto Cafe & Restaurant,"14, 2 Nimmanahaeminda Road, Sutep, Maung, Chang Wat Chiang Mai 50200, Thailand",+66 82 691 7725,"Open on: Monday (7:30 AM – 5:00 PM), Tuesday (7:30 AM – 5:00 PM), Wednesday (7:30 AM – 5:00 PM), Thursday (7:30 AM – 5:00 PM), Friday (7:30 AM – 5:00 PM), Saturday (7:30 AM – 5:00 PM), Sunday (7:30 AM – 5:00 PM).",4.6,"cafe, store, restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=9057220936778331325,1049.0,18.798603,98.9686445
11,Bar Mhee Yen Studio,"QXX9+HH8, Nimmanahaeminda Road, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 90 325 6161,"Open on: Monday (5:30 – 9:30 PM), Tuesday (5:30 – 9:30 PM), Wednesday (5:30 – 9:30 PM), Thursday (5:30 – 9:30 PM), Friday (5:30 – 9:30 PM), Saturday (5:30 – 9:30 PM), Sunday (5:30 – 9:30 PM).",4.3,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=15396433380670592780,3.0,18.7989126,98.9689658
12,Smile Kitchen,"Suthep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand",+66 80 825 3650,"Open on: Monday (11:00 AM – 2:30 PM, 5:00 – 9:00 PM), Tuesday (11:00 AM – 2:30 PM, 5:00 – 9:00 PM), Wednesday (11:00 AM – 2:30 PM, 5:00 – 9:00 PM), Thursday (11:00 AM – 2:30 PM, 5:00 – 9:00 PM), Friday (11:00 AM – 2:30 PM, 5:00 – 9:00 PM), Saturday (11:00 AM – 2:30 PM, 5:00 – 9:00 PM). Closed on: Sunday.",4.5,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=8971909642872923132,408.0,18.7991035,98.9675006
13,Jarid Thai Food | Fine Wines,"21 Huay Kaeo Rd Soi 3 Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 93 459 7000,"Open on: Monday (11:00 AM – 11:00 PM), Tuesday (11:00 AM – 11:00 PM), Wednesday (11:00 AM – 11:00 PM), Thursday (11:00 AM – 11:00 PM), Friday (11:00 AM – 11:00 PM), Saturday (11:00 AM – 11:00 PM), Sunday (11:00 AM – 11:00 PM).",4.6,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=17703578007411273935,470.0,18.7990989,98.9686729
14,Guu Fusion Roti & Tea,"15/4 Nimmana Haeminda Rd Lane 3, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 82 898 8992,"Open on: Monday (9:00 AM – 1:00 AM), Tuesday (9:00 AM – 1:00 AM), Wednesday (9:00 AM – 1:00 AM), Thursday (9:00 AM – 1:00 AM), Friday (9:00 AM – 1:00 AM), Saturday (9:00 AM – 1:00 AM), Sunday (9:00 AM – 1:00 AM).",4.5,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=8565551177080252642,3556.0,18.7991696,98.9672413
15,Art Mai? Gallery Hotel Chiang Mai,"21 Nimmana Haeminda Rd Lane 3, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 53 894 888,This place is open 24 hours every day.,4.6,"lodging, art_gallery, restaurant, food, real_estate_agency, point_of_interest, establishment",https://maps.google.com/?cid=12898312783306527383,1991.0,18.7991237,98.9688412
16,Buristro Bar & Cafe,"Siri Mangkalajarn Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 64 001 0069,"Open on: Monday (7:00 AM – 11:00 PM), Tuesday (7:00 AM – 11:00 PM), Wednesday (7:00 AM – 11:00 PM), Thursday (7:00 AM – 11:00 PM), Friday (7:00 AM – 11:00 PM), Saturday (7:00 AM – 11:00 PM), Sunday (7:00 AM – 11:00 PM).",4.2,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=10957122024241839784,65.0,18.7946144,98.9708408
17,Cheevit Cheeva Chiang Mai,"6 ซอย 7 Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 99 141 0440,"Open on: Monday (11:00 AM – 10:00 PM), Tuesday (11:00 AM – 10:00 PM), Wednesday (11:00 AM – 10:00 PM), Thursday (11:00 AM – 10:00 PM), Friday (11:00 AM – 10:00 PM), Saturday (11:00 AM – 10:00 PM), Sunday (11:00 AM – 10:00 PM).",4.4,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=11098302353767707966,1585.0,18.7951549,98.9711332
18,The Larder Cafe & Bar,"3, 9 Suk Kasame Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 52 001 594,"Open on: Monday (8:00 AM – 3:30 PM), Tuesday (8:00 AM – 3:30 PM), Wednesday (8:00 AM – 3:30 PM), Thursday (8:00 AM – 3:30 PM), Friday (8:00 AM – 3:30 PM), Saturday (8:00 AM – 3:30 PM), Sunday (8:00 AM – 3:30 PM).",3.2,"cafe, store, restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=5793884885473752721,1321.0,18.79906799999999,98.966128
19,Bread Brasserie,"QXX7+6WR, Nimmana Haeminda Rd Soi 6, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 89 482 1444,"Open on: Monday (7:30 AM – 6:00 PM), Tuesday (7:30 AM – 6:00 PM), Wednesday (7:30 AM – 6:00 PM), Thursday (7:30 AM – 6:00 PM), Friday (7:30 AM – 6:00 PM), Saturday (7:30 AM – 7:00 PM), Sunday (7:30 AM – 7:00 PM).",4.4,"bakery, restaurant, food, store, point_of_interest, establishment",https://maps.google.com/?cid=16519398533428595747,107.0,18.79811429999999,98.9647529
20,Cherng Doi Roast Chicken,"2, 8 Suk Kasame Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 81 881 1407,"Open on: Tuesday (11:00 AM – 8:00 PM), Wednesday (11:00 AM – 8:00 PM), Thursday (11:00 AM – 8:00 PM), Friday (11:00 AM – 8:00 PM), Saturday (11:00 AM – 8:00 PM), Sunday (11:00 AM – 8:00 PM). Closed on: Monday.",4.2,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=17835361123260205616,2699.0,18.79925949999999,98.9660815
21,POTTO,"116/5, Siri Makalajarn Rd., Sutep, อำเภอเมืองเชียงใหม่ Chiang Mai 50200, Thailand",+66 95 668 8768,"Open on: Monday (11:00 AM – 9:00 PM), Tuesday (11:00 AM – 9:00 PM), Wednesday (11:00 AM – 9:00 PM), Thursday (11:00 AM – 9:00 PM), Friday (11:00 AM – 9:00 PM), Saturday (11:00 AM – 9:00 PM), Sunday (11:00 AM – 9:00 PM).",4.5,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=13380446518274754672,345.0,18.793764,98.970726
22,Ongtong,"2, 4 Siri Mangkalajarn Rd Lane 11, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 53 216 696,"Open on: Monday (10:00 AM – 6:00 PM), Tuesday (10:00 AM – 6:00 PM), Wednesday (10:00 AM – 6:00 PM), Thursday (10:00 AM – 6:00 PM), Friday (10:00 AM – 6:00 PM), Saturday (10:00 AM – 6:00 PM), Sunday (10:00 AM – 6:00 PM).",4.3,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=6403052003583309641,592.0,18.7937945,98.971282
23,Ninja Ramen,"3 Siri Mangkalajarn Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 53 215 551,"Open on: Monday (11:00 AM – 2:30 PM, 5:00 – 9:30 PM), Tuesday (11:00 AM – 2:30 PM, 5:00 – 9:30 PM), Wednesday (11:00 AM – 2:30 PM, 5:00 – 9:30 PM), Thursday (11:00 AM – 2:30 PM, 5:00 – 9:30 PM), Friday (11:00 AM – 2:30 PM, 5:00 – 9:30 PM), Saturday (11:00 AM – 2:30 PM, 5:00 – 9:30 PM), Sunday (11:00 AM – 2:30 PM, 5:00 – 9:30 PM).",4.3,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=9630038250388330852,687.0,18.798936,98.9712911
24,ซุ้ม 2 หมูจุ่มสาขา 2,"Suthep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand",ไม่มีข้อมูล,"Open on: Monday (4:30 PM – 3:00 AM), Tuesday (4:30 PM – 3:00 AM), Wednesday (4:30 PM – 3:00 AM), Thursday (4:30 PM – 3:00 AM), Friday (4:30 PM – 3:00 AM), Saturday (4:30 PM – 3:00 AM), Sunday (4:30 PM – 3:00 AM).",4.4,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=7888235866354695282,102.0,18.7994366,98.961323
25,Happy Allergy Bakery,"17/1 Sirimungklajarn Rd Lane 7, Tambon Su Thep, Muang, Chang Wat Chiang Mai 50200, Thailand",+66 95 696 2899,"Open on: Monday (9:00 AM – 6:30 PM), Tuesday (9:00 AM – 6:30 PM), Wednesday (9:00 AM – 6:30 PM), Thursday (9:00 AM – 6:30 PM), Friday (9:00 AM – 6:30 PM), Saturday (9:00 AM – 6:30 PM), Sunday (9:00 AM – 6:30 PM).",4.0,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=16037135675654010923,369.0,18.7952343,98.9724837
26,Anchan Noodle,"19/1 Siri Mangkalajarn Rd Lane 9, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 84 949 2828,"Open on: Monday (8:00 AM – 8:30 PM), Tuesday (8:00 AM – 8:30 PM), Wednesday (8:00 AM – 8:30 PM), Thursday (8:00 AM – 8:30 PM), Friday (8:00 AM – 8:30 PM), Saturday (8:00 AM – 8:30 PM), Sunday (8:00 AM – 8:30 PM).",4.3,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=11942871402079251498,1664.0,18.794239,98.9725649
27,T Station,"Suthep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand",+66 52 001 999,"Open on: Monday (11:00 AM – 10:00 PM), Tuesday (11:00 AM – 10:00 PM), Wednesday (11:00 AM – 10:00 PM), Thursday (11:00 AM – 10:00 PM), Friday (11:00 AM – 10:00 PM), Saturday (11:00 AM – 10:00 PM), Sunday (11:00 AM – 10:00 PM).",4.5,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=6710758169384811867,38.0,18.8010424,98.9670118
28,L'éléphant,"7 Siri Mangkalajarn Rd Lane 11, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 97 970 8947,"Open on: Tuesday (4:30 – 10:00 PM), Wednesday (4:30 – 10:00 PM), Thursday (4:30 – 10:00 PM), Friday (4:30 – 10:00 PM), Saturday (11:00 AM – 2:30 PM, 4:30 – 10:00 PM), Sunday (11:00 AM – 2:30 PM, 4:30 – 10:00 PM). Closed on: Monday.",4.7,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=15804820282057061230,460.0,18.7937685,98.9725372
29,LaiLai Shabu & Grill,"Huay Kaew Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 81 531 0698,"Open on: Monday (11:30 AM – 11:00 PM), Tuesday (11:30 AM – 11:00 PM), Wednesday (11:30 AM – 11:00 PM), Thursday (11:30 AM – 11:00 PM), Friday (11:30 AM – 11:00 PM), Saturday (11:30 AM – 11:00 PM), Sunday (11:30 AM – 11:00 PM).",4.3,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=2616139593933152112,80.0,18.801717,98.9663327
30,The Duke's Maya,"Maya Shopping Mall, 55 Huay Kaew Rd, Tambon Chang Phueak, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50300, Thailand",+66 52 081 095,"Open on: Monday (11:00 AM – 9:00 PM), Tuesday (11:00 AM – 9:00 PM), Wednesday (11:00 AM – 9:00 PM), Thursday (11:00 AM – 9:00 PM), Friday (11:00 AM – 9:00 PM), Saturday (10:00 AM – 9:00 PM), Sunday (10:00 AM – 9:00 PM).",4.2,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=7470137678335281706,656.0,18.8021,98.967495
31,MK Restaurant,"231/12 1004, Thesaban Nakhon Chiang Mai 1004, Tambon Chang Phueak, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",ไม่มีข้อมูล,"Open on: Monday (11:00 AM – 10:00 PM), Tuesday (11:00 AM – 10:00 PM), Wednesday (11:00 AM – 10:00 PM), Thursday (11:00 AM – 10:00 PM), Friday (11:00 AM – 10:00 PM), Saturday (11:00 AM – 10:00 PM), Sunday (11:00 AM – 10:00 PM).",3.8,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=14181118028579134143,145.0,18.802141,98.9669925
32,KFC Maya Chiang Mai,"Maya, Tambon Chang Phueak, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50000, Thailand",ไม่มีข้อมูล,"Open on: Monday (11:00 AM – 9:00 PM), Tuesday (11:00 AM – 9:00 PM), Wednesday (11:00 AM – 9:00 PM), Thursday (11:00 AM – 9:00 PM), Friday (11:00 AM – 9:00 PM), Saturday (10:00 AM – 8:30 PM), Sunday (10:00 AM – 8:30 PM).",3.8,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=8853248372442324713,300.0,18.802474,98.967361
33,Lemontree F&B,"26/1-2 Huay Kaew Rd, Tambon Chang Phueak, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50300, Thailand",+66 53 222 009,"Open on: Monday (11:00 AM – 9:00 PM), Tuesday (11:00 AM – 9:00 PM), Wednesday (11:00 AM – 9:00 PM), Thursday (11:00 AM – 9:00 PM), Friday (11:00 AM – 9:00 PM), Saturday (11:00 AM – 9:00 PM), Sunday (11:00 AM – 9:00 PM).",4.5,"meal_delivery, restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=588836743659178291,390.0,18.7980778,98.9742351
34,Xanadu Pub & Restaurant,"54 FURAMA Huay Kaew Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50300, Thailand",+66 53 415 222,"Open on: Monday (6:30 PM – 12:00 AM), Tuesday (6:30 PM – 12:00 AM), Wednesday (6:30 PM – 12:00 AM), Thursday (6:30 PM – 12:00 AM), Friday (6:30 PM – 12:00 AM), Saturday (6:30 PM – 12:00 AM), Sunday (6:30 PM – 12:00 AM).",3.9,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=13278018089587972701,273.0,18.8019146,98.9708551
35,Guang,"9/2 Suthep Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 53 809 005,"Open on: Monday (9:00 AM – 10:00 PM), Tuesday (9:00 AM – 10:00 PM), Wednesday (9:00 AM – 10:00 PM), Thursday (9:00 AM – 10:00 PM), Friday (9:00 AM – 10:00 PM), Saturday (9:00 AM – 10:00 PM), Sunday (9:00 AM – 10:00 PM).",4.2,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=4853045110673874867,608.0,18.7893693,98.9672822
36,Khao Tom Pui,"161 Suthep Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 95 681 7292,"Open on: Monday (4:00 – 10:00 PM), Tuesday (4:00 – 10:00 PM), Wednesday (4:00 – 10:00 PM), Thursday (4:00 – 10:00 PM), Friday (4:00 – 10:00 PM), Saturday (4:00 – 10:00 PM), Sunday (4:00 – 10:00 PM).",4.1,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=2468395160851463668,561.0,18.7893166,98.9676825
37,RabBrits Café,"207 Suthep Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 94 224 0446,"Open on: Monday (10:00 AM – 5:00 PM), Tuesday (10:00 AM – 5:00 PM), Wednesday (10:00 AM – 5:00 PM), Thursday (10:00 AM – 5:00 PM). Closed on: Friday, Saturday, Sunday.",4.0,"bakery, cafe, store, restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=8244980910271171148,1.0,18.7894247,98.9662142
38,pizza&ice cream by sutthirak,"237/1 Huay Kaew Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 87 901 5604,"Open on: Monday (11:00 AM – 6:00 PM), Tuesday (11:00 AM – 6:00 PM), Wednesday (11:00 AM – 6:00 PM), Thursday (11:00 AM – 6:00 PM), Friday (11:00 AM – 6:00 PM), Saturday (11:00 AM – 6:00 PM), Sunday (11:00 AM – 6:00 PM).",,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=17693818256249068948,,18.7964158,98.975314
39,Outside In,"QXXF+GX8, Soi Ratchaphuek, Tambon Chang Phueak, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50300, Thailand",+66 53 216 396,"Open on: Monday (8:00 AM – 5:00 PM), Tuesday (8:00 AM – 5:00 PM), Wednesday (8:00 AM – 5:00 PM), Thursday (8:00 AM – 5:00 PM), Friday (8:00 AM – 5:00 PM), Saturday (8:00 AM – 5:00 PM), Sunday (8:00 AM – 5:00 PM).",3.9,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=322049875638862952,26.0,18.7987983,98.9749643
40,McDonald's,"QXQC+P6H Maharaj Nakorn Chiang Mai Hospital, Siri Mangkalajarn Rd Lane 9, Tambon Si Phum, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 53 289 271,"Open on: Monday (7:00 AM – 12:00 AM), Tuesday (7:00 AM – 12:00 AM), Wednesday (7:00 AM – 12:00 AM), Thursday (7:00 AM – 12:00 AM), Friday (7:00 AM – 12:00 AM), Saturday (7:00 AM – 12:00 AM), Sunday (7:00 AM – 12:00 AM).",4.1,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=11639002107430958333,470.0,18.7893144,98.9705974
41,Fat Thin Steak（ともちゃんステーキ）,"RX26+6J2, Suthep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand",+66 89 952 7666,"Open on: Monday (4:30 – 11:00 PM), Tuesday (4:30 – 11:00 PM), Wednesday (4:30 – 11:00 PM), Thursday (4:30 – 11:00 PM), Friday (4:30 – 11:00 PM), Saturday (4:30 – 11:00 PM), Sunday (4:30 – 11:00 PM).",4.4,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=2542171293449865098,181.0,18.8005243,98.9615306
42,Funky Grill Chiang Mai 麻辣烧烤,"199/4 Huay Kaew Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 91 790 1558,"Open on: Monday (5:30 PM – 2:00 AM), Tuesday (5:30 PM – 2:00 AM), Thursday (5:30 PM – 2:00 AM), Friday (5:30 PM – 2:00 AM), Saturday (5:30 PM – 2:00 AM), Sunday (5:30 PM – 2:00 AM). Closed on: Wednesday.",4.2,"bar, restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=7992935494930386039,1537.0,18.8029029,98.9645615
43,Salad Khunnai,"97 ร้านสลัดคุณนาย ถ.สุเทพ, สุเทพ, อำเภอเมืองเชียงใหม่ Chiang Mai 50200, Thailand",+66 61 183 5444,"Open on: Monday (10:30 AM – 9:30 PM), Tuesday (10:30 AM – 9:30 PM), Wednesday (10:30 AM – 9:30 PM), Thursday (10:30 AM – 9:30 PM), Friday (10:30 AM – 9:30 PM), Saturday (10:30 AM – 9:30 PM), Sunday (10:30 AM – 9:30 PM).",4.8,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=10167726624646113323,1483.0,18.7889252,98.9704783
44,Gai Yaang Kaosuankwang,"ถนนสมโภชเชียงใหม่700ปี Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 99 298 1666,"Open on: Monday (10:30 AM – 8:30 PM), Tuesday (10:30 AM – 8:30 PM), Wednesday (10:30 AM – 8:30 PM), Thursday (10:30 AM – 8:30 PM), Friday (10:30 AM – 8:30 PM), Saturday (10:30 AM – 8:30 PM), Sunday (10:30 AM – 8:30 PM).",4.4,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=3240417664696050029,374.0,18.7895676,98.9636465
45,Boons Bar & Restaurant,"28 Soi Phaha Huay Kaew Road, ตำบลสุเทพ Mueang Chiang Mai District, Chiang Mai 50200, Thailand",+66 80 792 6997,"Open on: Monday (5:00 – 10:00 PM), Tuesday (5:00 – 10:00 PM), Wednesday (5:00 – 10:00 PM), Thursday (5:00 – 10:00 PM), Friday (5:00 – 10:00 PM), Saturday (5:00 – 10:00 PM), Sunday (5:00 – 10:00 PM).",5.0,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=5457271596858242465,3.0,18.802328,98.9628531
46,Mainichi,"15 ตึก เหลือง กอง บิน ต ลา ดัน ท ร์ กุมาร เก่า ถ สนาม บิน เก่า 2 ต สุ เทพ อ เมือง, จ, ตำบลสุเทพ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200, Thailand",+66 82 381 7676,"Open on: Monday (11:00 AM – 7:30 PM), Tuesday (11:00 AM – 7:30 PM), Wednesday (11:00 AM – 7:30 PM), Thursday (11:00 AM – 7:30 PM), Saturday (11:00 AM – 7:30 PM), Sunday (11:00 AM – 7:30 PM). Closed on: Friday.",4.6,"cafe, restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=9419401952404912313,77.0,18.7896926,98.9627033
47,Free Bird Cafe CNX Donation Center and Thrift Store,"14 ถนนศิริมังมังคลาจารย์ Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 99 351 4404,"Open on: Tuesday (9:00 AM – 5:00 PM), Wednesday (9:00 AM – 8:00 PM), Thursday (9:00 AM – 8:00 PM), Friday (9:00 AM – 8:00 PM), Saturday (9:00 AM – 8:00 PM), Sunday (9:00 AM – 5:00 PM). Closed on: Monday.",4.5,"book_store, clothing_store, cafe, restaurant, food, store, point_of_interest, health, establishment",https://maps.google.com/?cid=15255638799051525595,936.0,18.7941165,98.9722237
